id,province,city,place_name,full_name,region,visit_date,trip_tag,excerpt,snacks,search_term,lat,lng,image_url,article_url,featured,source_file,source_title,extractor_notes,human_reviewed
HY001,陕西,西安市,曲江新区,陕西·曲江新区,北京,2022年7月,,曲江新区夜景很美，大唐不夜城的灯火辉煌让人仿佛穿越回了盛唐。,[],陕西西安曲江新区,34.2134,108.9585,,,false,2022-07-28_曲江新区.pdf,曲江新区,,Y
HY002,陕西,西安市,未央宫遗址,陕西·未央宫遗址,北京,2022年7月,,未央宫遗址公园里走一圈，再喝一碗肉丸胡辣汤，这就是西安的日常。,"[""肉丸胡辣汤""]",陕西西安未央宫遗址,34.2897,108.9426,,,false,2022-07-29_未央宫遗址和肉丸胡辣汤.pdf,未央宫遗址和肉丸胡辣汤,,Y
HY003,安徽,合肥市,合肥市区,安徽·合肥,北京,2022年8月,2022南下之旅,隔离生活虽然无聊，但合肥的街道还算安静，适合慢慢走。,[],安徽合肥,31.8206,117.2272,,,false,2022-08-28_开始在合肥的隔离生活.pdf,开始在合肥的隔离生活,,Y
HY004,安徽,池州市,九华山,安徽·九华山,北京,2022年9月,2022南下之旅,九华山的云海和佛光让人心旷神怡，拜佛赏景两不误。,"[""素斋""]",安徽池州九华山,30.5450,117.8010,,,true,2022-09-10_九华山拜佛赏景全攻略.pdf,九华山拜佛赏景全攻略,,Y
HY005,安徽,池州市,笔架山,安徽·笔架山,北京,2022年9月,2022南下之旅,夜爬笔架山，山顶的星空和城市的灯光交相辉映。,[],安徽池州笔架山,30.6667,117.4833,,,false,2022-09-07_夜爬笔架山.pdf,夜爬笔架山,,Y
HY006,安徽,宣城市,查济古镇,安徽·查济古镇,北京,2022年9月,2022南下之旅,查济古镇安静得像一幅水墨画，想在这里度余生。,"[""毛豆腐"",""臭鳜鱼""]",安徽宣城查济古镇,30.5833,118.0167,,,true,2022-09-16_查济，想度余生的地方.pdf,查济，想度余生的地方,,Y
HY007,安徽,三河市,三河古镇,安徽·三河古镇,北京,2022年9月,2022南下之旅,三河古镇出名人，古街古巷里藏着不少故事。,"[""米饺""]",安徽合肥三河古镇,31.6333,117.2667,,,false,2022-09-04_三河古镇出名人.pdf,三河古镇出名人,,Y
HY008,江苏,扬州市,扬州古城,江苏·扬州,北京,2022年9月,2022南下之旅,扬州慢，慢在早茶的悠闲，慢在瘦西湖的婉约。,"[""扬州炒饭"",""蟹黄汤包""]",江苏扬州瘦西湖,32.3936,119.4129,,,true,2022-09-20_扬州慢.pdf,扬州慢,,Y
HY009,浙江,舟山市,朱家尖,浙江·朱家尖,北京,2022年10月,2022南下之旅,朱家尖的海滩是舟山最美的，沙细浪柔，可以发呆一整天。,"[""呛蟹""]",浙江舟山朱家尖,29.9167,122.3833,,,true,2022-10-11_舟山最美朱家尖.pdf,舟山最美朱家尖,,Y
HY010,浙江,宁波市,宁波市区,浙江·宁波,北京,2022年10月,2022南下之旅,宁波的酱青蟹是人间美味，咸鲜适口，配一碗白饭绝了。,"[""酱青蟹"",""猪油糕"",""面结面""]",浙江宁波天一阁,29.8683,121.5440,,,true,2022-10-14_宁波的酱青蟹.pdf,宁波的酱青蟹,,Y
