地点ID,地点名,问题类型,问题描述,当前值
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","白鹤峰州衙和惠州坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","白鹤峰州衙和到'蛮荒之地'坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","白鹤峰州衙和惯了坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","白鹤峰州衙和儋州坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","惠州和到'蛮荒之地'坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","惠州和惯了坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","惠州和儋州坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","到'蛮荒之地'和惯了坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","到'蛮荒之地'和儋州坐标相同(23.112368,114.415587)"
"P001","白鹤峰","sub_coord_dup","子地点坐标重复","惯了和儋州坐标相同(23.112368,114.415587)"
"P002","白州","no_famous_line","无代表名句",""
"P003","百步洪","no_famous_line","无代表名句",""
"P004","北部湾海岸","no_famous_line","无代表名句",""
"P005","北江","no_famous_line","无代表名句",""
"P006","汴河","no_famous_line","无代表名句",""
"P007","汴河漕运古道","no_famous_line","无代表名句",""
"P009","汴京翰林院","sub_coord_dup","子地点坐标重复","汴京翰林院州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P010","汴京太学","sub_coord_dup","子地点坐标重复","汴京太学州衙和开封府坐标相同(34.798083,114.314278)"
"P010","汴京太学","sub_coord_dup","子地点坐标重复","汴京太学州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P010","汴京太学","sub_coord_dup","子地点坐标重复","开封府和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P011","汴京文德殿","sub_coord_dup","子地点坐标重复","汴京文德殿州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P012","汴京御史台","sub_coord_dup","子地点坐标重复","汴京御史台州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P013","汴京御史台监狱","sub_coord_dup","子地点坐标重复","汴京御史台监狱州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P014","汴京政事堂","sub_coord_dup","子地点坐标重复","汴京政事堂州衙和开封府坐标相同(34.798083,114.314278)"
"P014","汴京政事堂","sub_coord_dup","子地点坐标重复","汴京政事堂州衙和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P014","汴京政事堂","sub_coord_dup","子地点坐标重复","开封府和兴国寺浴室院坐标相同(34.798083,114.314278)"
"P015","曹州","no_famous_line","无代表名句",""
"P016","常山","no_famous_line","无代表名句",""
"P017","常州","no_famous_line","无代表名句",""
"P018","常州终老故居","no_poems","无关联诗词",""
"P018","常州终老故居","poi_mismatch","POI偏差15.9km","place=(31.7744,119.974) poi=(31.641006,120.035832)"
"P018","常州终老故居","no_famous_line","无代表名句",""
"P019","陈仓","no_famous_line","无代表名句",""
"P020","陈州","poi_mismatch","POI偏差18.5km","place=(33.7322,114.6525) poi=(33.731543,114.852604)"
"P020","陈州","sub_coord_dup","子地点坐标重复","陈州府衙和柳湖坐标相同(33.838116,114.785567)"
"P020","陈州","sub_coord_dup","子地点坐标重复","陈州府衙和铁墓坐标相同(33.838116,114.785567)"
"P020","陈州","sub_coord_dup","子地点坐标重复","柳湖和铁墓坐标相同(33.838116,114.785567)"
"P020","陈州","no_famous_line","无代表名句",""
"P021","成都","sub_coord_dup","子地点坐标重复","池州官署和三苏纪念馆坐标相同(30.3594,104.024638)"
"P021","成都","no_famous_line","无代表名句",""
"P022","成都青羊宫","no_poems","无关联诗词",""
"P022","成都青羊宫","sub_coord_dup","子地点坐标重复","赤壁矶和三苏纪念馆坐标相同(30.3594,104.024638)"
"P022","成都青羊宫","no_famous_line","无代表名句",""
"P023","澄迈","no_famous_line","无代表名句",""
"P025","滁州","sub_coord_dup","子地点坐标重复","大庾岭驿站和琅琊山坐标相同(32.276983,118.281902)"
"P025","滁州","no_famous_line","无代表名句",""
"P026","滁州琅琊山","sub_coord_dup","子地点坐标重复","当涂官署和琅琊山坐标相同(32.255904,118.333439)"
"P026","滁州琅琊山","no_famous_line","无代表名句",""
"P027","楚州","poi_mismatch","POI偏差12.3km","place=(33.5025,119.013) poi=(33.5108,119.145777)"
"P027","楚州","sub_coord_dup","子地点坐标重复","德清县衙和镇淮楼坐标相同(33.551495,119.113166)"
"P027","楚州","no_famous_line","无代表名句",""
"P028","磁州","no_famous_line","无代表名句",""
"P029","大别山边缘古道","no_famous_line","无代表名句",""
"P030","大慈寺","no_famous_line","无代表名句",""
"P031","大庾岭","sub_coord_dup","子地点坐标重复","大庾岭附近驿馆和梅岭坐标相同(25.401968,114.362306)"
"P031","大庾岭","no_famous_line","无代表名句",""
"P032","大庾岭梅关","no_famous_line","无代表名句",""
"P033","丹崖山","poi_mismatch","POI偏差1667.7km","place=(37.82,120.75) poi=(30.28,105.06)"
"P033","丹崖山","no_famous_line","无代表名句",""
"P034","儋州","sub_coord_dup","子地点坐标重复","载酒堂和东坡书院坐标相同(19.737794,109.356283)"
"P036","登州","sub_coord_dup","子地点坐标重复","登州州衙和蓬莱阁坐标相同(37.795697,120.829141)"
"P037","邓州","no_famous_line","无代表名句",""
"P039","定州中山故都","sub_coord_dup","子地点坐标重复","定州州衙和中山故都坐标相同(38.513739,115.004721)"
"P039","定州中山故都","no_famous_line","无代表名句",""
"P040","渡琼州海峡","sub_coord_dup","子地点坐标重复","渡琼州海峡附近驿馆和五公祠坐标相同(20.046316,110.200162)"
"P040","渡琼州海峡","no_famous_line","无代表名句",""
"P041","飞来峰","no_famous_line","无代表名句",""
"P042","凤凰山","poi_mismatch","POI偏差18.8km","place=(30.246,120.14) poi=(30.25289,119.944322)"
"P043","凤县","no_famous_line","无代表名句",""
"P044","凤翔","sub_coord_dup","子地点坐标重复","凤翔府衙和凤翔东湖坐标相同(34.522167,107.401029)"
"P044","凤翔","sub_coord_dup","子地点坐标重复","凤翔府衙和仙游潭中兴寺坐标相同(34.522167,107.401029)"
"P044","凤翔","sub_coord_dup","子地点坐标重复","凤翔府衙和凤鸣驿坐标相同(34.522167,107.401029)"
"P044","凤翔","sub_coord_dup","子地点坐标重复","凤翔东湖和仙游潭中兴寺坐标相同(34.522167,107.401029)"
"P044","凤翔","sub_coord_dup","子地点坐标重复","凤翔东湖和凤鸣驿坐标相同(34.522167,107.401029)"
"P044","凤翔","sub_coord_dup","子地点坐标重复","仙游潭中兴寺和凤鸣驿坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤翔府仙游潭中兴寺和凤翔东湖坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤翔府仙游潭中兴寺和凤鸣驿坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤翔府仙游潭中兴寺和仙游潭中兴寺坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤翔东湖和凤鸣驿坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤翔东湖和仙游潭中兴寺坐标相同(34.522167,107.401029)"
"P045","凤翔东湖","sub_coord_dup","子地点坐标重复","凤鸣驿和仙游潭中兴寺坐标相同(34.522167,107.401029)"
"P046","扶风","no_famous_line","无代表名句",""
"P047","赣江古道","no_famous_line","无代表名句",""
"P048","高邮","sub_coord_dup","子地点坐标重复","高邮军衙和文游台坐标相同(32.781606,119.45892)"
"P048","高邮","no_famous_line","无代表名句",""
"P049","姑苏寒山寺","sub_coord_dup","子地点坐标重复","高邮新开湖和虎丘坐标相同(31.335648,120.617367)"
"P049","姑苏寒山寺","no_famous_line","无代表名句",""
"P050","孤山","sub_coord_dup","子地点坐标重复","通判，寓居凤凰山任杭州和杭州坐标相同(30.2589,120.1444)"
"P051","瓜州渡","sub_coord_dup","子地点坐标重复","金山寺和焦山坐标相同(32.188141,119.424441)"
"P052","瓜州古渡","sub_coord_dup","子地点坐标重复","瓜州古渡州衙和镇江金山寺坐标相同(32.254619,119.384787)"
"P052","瓜州古渡","sub_coord_dup","子地点坐标重复","金山寺和焦山坐标相同(32.188141,119.424441)"
"P053","光州","sub_coord_dup","子地点坐标重复","光州官署和光州古城坐标相同(32.131426,115.051683)"
"P053","光州","no_famous_line","无代表名句",""
"P054","广州","sub_coord_dup","子地点坐标重复","广陵官署和镇海楼坐标相同(23.137978,113.265624)"
"P054","广州","no_famous_line","无代表名句",""
"P055","海州","sub_coord_dup","子地点坐标重复","广信军衙和孔望山坐标相同(34.567054,119.174729)"
"P055","海州","no_famous_line","无代表名句",""
